"response","Country","Number","question"
"Somewhat serious threat","Slovakia",57.60557744,"Ques__threat_20_years"
"Somewhat serious threat","South.Africa",25.13676721,"Ques__threat_20_years"
"Somewhat serious threat","South.Korea",44.48203739,"Ques__threat_20_years"
"Somewhat serious threat","Spain",33.67683977,"Ques__threat_20_years"
"Somewhat serious threat","Sri.Lanka",24.41431789,"Ques__threat_20_years"
"Somewhat serious threat","Sub.Saharan.Africa",17.58079079,"Ques__threat_20_years"
"Somewhat serious threat","Sweden",44.76736736,"Ques__threat_20_years"
"Somewhat serious threat","Switzerland",50.33116444,"Ques__threat_20_years"
"Somewhat serious threat","Taiwan",47.75849258,"Ques__threat_20_years"
"Somewhat serious threat","Tanzania",21.05959694,"Ques__threat_20_years"
"Somewhat serious threat","Thailand",44.91049364,"Ques__threat_20_years"
"Somewhat serious threat","Trinidad.and.Tobago",26.32263328,"Ques__threat_20_years"
"Somewhat serious threat","Tunisia",28.37645722,"Ques__threat_20_years"
"Somewhat serious threat","Turkey",37.14640799,"Ques__threat_20_years"
"Somewhat serious threat","United.Arab.Emirates",27.27745609,"Ques__threat_20_years"
"Somewhat serious threat","United.Kingdom",40.97772889,"Ques__threat_20_years"
"Somewhat serious threat","United.States",30.51964524,"Ques__threat_20_years"
"Somewhat serious threat","Uruguay",38.97324141,"Ques__threat_20_years"
"Somewhat serious threat","Uzbekistan",48.22982002,"Ques__threat_20_years"
"Somewhat serious threat","Vietnam",28.84368541,"Ques__threat_20_years"
"Somewhat serious threat","Yemen",28.90224884,"Ques__threat_20_years"
"Somewhat serious threat","Zambia",15.60695824,"Ques__threat_20_years"
"Not a threat at all","Albania",7.379800435,"Ques__threat_20_years"
"Not a threat at all","Algeria",8.40888272,"Ques__threat_20_years"
"Not a threat at all","Angola",8.569877931,"Ques__threat_20_years"
"Not a threat at all","Argentina",7.13493326,"Ques__threat_20_years"
"Not a threat at all","Armenia",11.89841454,"Ques__threat_20_years"
"Not a threat at all","Asian...Pacific.Islands",4.234277813,"Ques__threat_20_years"
"Not a threat at all","Australia",16.0589167,"Ques__threat_20_years"
"Not a threat at all","Austria",12.64431271,"Ques__threat_20_years"
"Not a threat at all","Azerbaijan",7.468123273,"Ques__threat_20_years"
"Not a threat at all","Bangladesh",7.177214173,"Ques__threat_20_years"
"Not a threat at all","Belgium",13.31614053,"Ques__threat_20_years"
"Not a threat at all","Benin",4.672718551,"Ques__threat_20_years"
"Not a threat at all","Bolivia..Plurinational.State.of.",3.263467031,"Ques__threat_20_years"
"Not a threat at all","Bosnia.and.Herzegovina",9.26228783,"Ques__threat_20_years"
