"country","year","emissions"
"Bhutan","X2018",0.49
"Bhutan","X2019",0.47
"Bolivia","X1990",16.46
"Bolivia","X1991",16.27
"Bolivia","X1992",16.05
"Bolivia","X1993",15.53
"Bolivia","X1994",15.11
"Bolivia","X1995",14.62
"Bolivia","X1996",14.43
"Bolivia","X1997",14.45
"Bolivia","X1998",14.16
"Bolivia","X1999",14.58
"Bolivia","X2000",13.19
"Bolivia","X2001",10.55
"Bolivia","X2002",11.03
"Bolivia","X2003",10.55
"Bolivia","X2004",11.76
"Bolivia","X2005",11.12
"Bolivia","X2006",11.15
"Bolivia","X2007",11.5
"Bolivia","X2008",10.82
"Bolivia","X2009",10.49
"Bolivia","X2010",12.49
"Bolivia","X2011",11.21
"Bolivia","X2012",11.11
"Bolivia","X2013",11
"Bolivia","X2014",10.9
"Bolivia","X2015",11.01
"Bolivia","X2016",11.82
"Bolivia","X2017",11.54
"Bolivia","X2018",11.41
"Bolivia","X2019",12.05
"Bosnia and Herzegovina","X1990",7.51
"Bosnia and Herzegovina","X1991",7.05
"Bosnia and Herzegovina","X1992",5.55
"Bosnia and Herzegovina","X1993",4.92
"Bosnia and Herzegovina","X1994",2.45
"Bosnia and Herzegovina","X1995",2.49
"Bosnia and Herzegovina","X1996",2.81
"Bosnia and Herzegovina","X1997",4.14
"Bosnia and Herzegovina","X1998",4.9
"Bosnia and Herzegovina","X1999",4.88
"Bosnia and Herzegovina","X2000",5.88
"Bosnia and Herzegovina","X2001",4.98
"Bosnia and Herzegovina","X2002",5.02
"Bosnia and Herzegovina","X2003",5.15
"Bosnia and Herzegovina","X2004",5.43
"Bosnia and Herzegovina","X2005",5.62
"Bosnia and Herzegovina","X2006",6.12
"Bosnia and Herzegovina","X2007",6.43
"Bosnia and Herzegovina","X2008",6.96
"Bosnia and Herzegovina","X2009",7.06
"Bosnia and Herzegovina","X2010",7.13
"Bosnia and Herzegovina","X2011",6.96
"Bosnia and Herzegovina","X2012",6.57
"Bosnia and Herzegovina","X2013",6.63
"Bosnia and Herzegovina","X2014",6.02
"Bosnia and Herzegovina","X2015",6.17
"Bosnia and Herzegovina","X2016",7.6
"Bosnia and Herzegovina","X2017",7.76
"Bosnia and Herzegovina","X2018",7.83
"Bosnia and Herzegovina","X2019",7.42
"Botswana","X1990",42.22
"Botswana","X1991",40.51
"Botswana","X1992",39.58
"Botswana","X1993",38.33
"Botswana","X1994",37.56
"Botswana","X1995",37.27
"Botswana","X1996",37.29
"Botswana","X1997",36.13
"Botswana","X1998",35.15
"Botswana","X1999",34.39
"Botswana","X2000",33.5
"Botswana","X2001",33.97
"Botswana","X2002",33.58
"Botswana","X2003",28.9
"Botswana","X2004",28.74
"Botswana","X2005",28.98
"Botswana","X2006",29.39
"Botswana","X2007",27.84
"Botswana","X2008",31.81
"Botswana","X2009",26.54
"Botswana","X2010",31.35
"Botswana","X2011",33.31
"Botswana","X2012",26.69
"Botswana","X2013",26.85
"Botswana","X2014",25.9
"Botswana","X2015",25.24
"Botswana","X2016",24.27
"Botswana","X2017",25.49
"Botswana","X2018",23.96
"Botswana","X2019",22.72
"Brazil","X1990",11
"Brazil","X1991",10.95
"Brazil","X1992",10.82
"Brazil","X1993",10.72
"Brazil","X1994",10.65
"Brazil","X1995",10.64
"Brazil","X1996",10.51
"Brazil","X1997",10.53
"Brazil","X1998",10.58
"Brazil","X1999",10.49
"Brazil","X2000",10.35
"Brazil","X2001",10.71
"Brazil","X2002",10.77
"Brazil","X2003",10.71
"Brazil","X2004",10.83
"Brazil","X2005",10.78
"Brazil","X2006",10.62
"Brazil","X2007",10.69
"Brazil","X2008",10.6
"Brazil","X2009",10.36
"Brazil","X2010",10.78
"Brazil","X2011",6.46
"Brazil","X2012",6.62
"Brazil","X2013",6.69
"Brazil","X2014",6.83
"Brazil","X2015",6.68
"Brazil","X2016",7.06
"Brazil","X2017",7.1
"Brazil","X2018",6.85
"Brazil","X2019",6.88
"Brunei","X1990",24.34
"Brunei","X1991",24.45
"Brunei","X1992",24.81
"Brunei","X1993",25.62
"Brunei","X1994",25.96
"Brunei","X1995",26.58
"Brunei","X1996",25.84
"Brunei","X1997",27.21
"Brunei","X1998",37.07
"Brunei","X1999",23.1
"Brunei","X2000",23.89
"Brunei","X2001",23.27
"Brunei","X2002",22.68
"Brunei","X2003",25.53
"Brunei","X2004",23.55
"Brunei","X2005",22.78
"Brunei","X2006",29.79
"Brunei","X2007",28.12
"Brunei","X2008",30.05
"Brunei","X2009",29.16
"Brunei","X2010",27
"Brunei","X2011",24.96
"Brunei","X2012",24.55
"Brunei","X2013",23.68
"Brunei","X2014",23.32
"Brunei","X2015",21.15
"Brunei","X2016",22.45
"Brunei","X2017",23.15
"Brunei","X2018",23.64
"Brunei","X2019",22.24
"Bulgaria","X1990",8.77
"Bulgaria","X1991",6.89
"Bulgaria","X1992",6.28
"Bulgaria","X1993",6.16
"Bulgaria","X1994",5.72
"Bulgaria","X1995",5.89
"Bulgaria","X1996",5.99
"Bulgaria","X1997",5.65
"Bulgaria","X1998",5.25
"Bulgaria","X1999",4.45
"Bulgaria","X2000",4.41
"Bulgaria","X2001",4.57
"Bulgaria","X2002",4.33
"Bulgaria","X2003",4.99
"Bulgaria","X2004",4.86
"Bulgaria","X2005",4.9
"Bulgaria","X2006",4.93
"Bulgaria","X2007",5.52
"Bulgaria","X2008",5.24
"Bulgaria","X2009",4.27
"Bulgaria","X2010",4.52
"Bulgaria","X2011",6.91
"Bulgaria","X2012",6.16
"Bulgaria","X2013",5.48
"Bulgaria","X2014",5.87
"Bulgaria","X2015",6.29
"Bulgaria","X2016",2.86
"Bulgaria","X2017",3.2
"Bulgaria","X2018",2.76
"Bulgaria","X2019",2.51
"Burkina Faso","X1990",2.9
"Burkina Faso","X1991",2.87
"Burkina Faso","X1992",2.82
"Burkina Faso","X1993",2.77
"Burkina Faso","X1994",2.75
"Burkina Faso","X1995",2.71
"Burkina Faso","X1996",2.63
"Burkina Faso","X1997",2.61
"Burkina Faso","X1998",2.62
"Burkina Faso","X1999",2.53
"Burkina Faso","X2000",2.58
"Burkina Faso","X2001",2.67
"Burkina Faso","X2002",2.65
"Burkina Faso","X2003",2.84
"Burkina Faso","X2004",2.8
"Burkina Faso","X2005",2.77
"Burkina Faso","X2006",2.68
"Burkina Faso","X2007",2.65
"Burkina Faso","X2008",2.63
"Burkina Faso","X2009",2.6
"Burkina Faso","X2010",2.62
"Burkina Faso","X2011",1.92
"Burkina Faso","X2012",1.91
"Burkina Faso","X2013",1.9
"Burkina Faso","X2014",1.88
"Burkina Faso","X2015",1.87
"Burkina Faso","X2016",2.87
"Burkina Faso","X2017",2.84
"Burkina Faso","X2018",2.8
"Burkina Faso","X2019",2.77
"Burundi","X1990",1.32
"Burundi","X1991",1.31
"Burundi","X1992",1.28
"Burundi","X1993",1.25
"Burundi","X1994",1.21
"Burundi","X1995",1.22
"Burundi","X1996",1.21
"Burundi","X1997",1.21
"Burundi","X1998",1.2
"Burundi","X1999",1.21
"Burundi","X2000",1.19
"Burundi","X2001",0.84
"Burundi","X2002",0.82
"Burundi","X2003",0.79
"Burundi","X2004",0.77
"Burundi","X2005",0.76
"Burundi","X2006",0.75
"Burundi","X2007",0.74
"Burundi","X2008",0.73
"Burundi","X2009",0.72
"Burundi","X2010",0.74
"Burundi","X2011",0.19
"Burundi","X2012",0.19
"Burundi","X2013",0.23
"Burundi","X2014",0.22
"Burundi","X2015",0.22
"Burundi","X2016",0.72
"Burundi","X2017",0.75
"Burundi","X2018",0.75
"Burundi","X2019",0.7
"Cambodia","X1990",2.77
"Cambodia","X1991",2.64
"Cambodia","X1992",2.6
"Cambodia","X1993",2.6
"Cambodia","X1994",2.39
"Cambodia","X1995",2.57
"Cambodia","X1996",2.15
"Cambodia","X1997",2.21
"Cambodia","X1998",2.45
"Cambodia","X1999",2.36
"Cambodia","X2000",2.17
"Cambodia","X2001",2.17
"Cambodia","X2002",2.31
"Cambodia","X2003",2.46
"Cambodia","X2004",2.49
"Cambodia","X2005",2.33
"Cambodia","X2006",2.55
"Cambodia","X2007",2.58
"Cambodia","X2008",2.53
"Cambodia","X2009",2.6
"Cambodia","X2010",2.5
"Cambodia","X2011",6.86
"Cambodia","X2012",6.63
"Cambodia","X2013",6.53
"Cambodia","X2014",6.46
"Cambodia","X2015",6.5
"Cambodia","X2016",4.28
"Cambodia","X2017",4.36
"Cambodia","X2018",4.33
"Cambodia","X2019",4.35
"Cameroon","X1990",6.25
"Cameroon","X1991",6.73
"Cameroon","X1992",6.52
"Cameroon","X1993",6.16
"Cameroon","X1994",10.02
"Cameroon","X1995",9.75
"Cameroon","X1996",9.58
"Cameroon","X1997",9.37
"Cameroon","X1998",9.39
"Cameroon","X1999",9.08
"Cameroon","X2000",8.94
"Cameroon","X2001",7.81
"Cameroon","X2002",7.61
"Cameroon","X2003",7.58
"Cameroon","X2004",7.21
"Cameroon","X2005",7.16
"Cameroon","X2006",6.83
"Cameroon","X2007",6.68
"Cameroon","X2008",6.52
"Cameroon","X2009",6.34
"Cameroon","X2010",6.19
"Cameroon","X2011",5.64
"Cameroon","X2012",5.5
"Cameroon","X2013",5.43
"Cameroon","X2014",5.32
"Cameroon","X2015",5.24
"Cameroon","X2016",5.17
"Cameroon","X2017",5.03
"Cameroon","X2018",4.93
"Cameroon","X2019",4.82
"Canada","X1990",21.92
"Canada","X1991",21.5
"Canada","X1992",21.75
"Canada","X1993",21.38
"Canada","X1994",21.77
"Canada","X1995",22.06
"Canada","X1996",22.57
"Canada","X1997",22.74
"Canada","X1998",23.09
"Canada","X1999",22.87
"Canada","X2000",23.23
"Canada","X2001",30.25
"Canada","X2002",30.59
"Canada","X2003",31.01
"Canada","X2004",30.62
"Canada","X2005",30.77
"Canada","X2006",30.11
"Canada","X2007",30.84
"Canada","X2008",29.76
"Canada","X2009",28.39
"Canada","X2010",28.57
"Canada","X2011",23.94
"Canada","X2012",23.69
"Canada","X2013",23.79
"Canada","X2014",23.76
"Canada","X2015",23.56
"Canada","X2016",20.51
"Canada","X2017",20.72
"Canada","X2018",20.95
"Canada","X2019",20.59
"Cape Verde","X1990",-0.84
"Cape Verde","X1991",-0.79
"Cape Verde","X1992",-0.67
"Cape Verde","X1993",-0.63
"Cape Verde","X1994",-0.66
"Cape Verde","X1995",-0.55
"Cape Verde","X1996",-0.59
"Cape Verde","X1997",-0.54
"Cape Verde","X1998",-0.46
"Cape Verde","X1999",-0.38
