"response","Country","Number","question"
"Don't know","Poland",5.116998644,"Ques__happening"
"Don't know","Portugal",3.405922692,"Ques__happening"
"Don't know","Puerto.Rico",5.904127467,"Ques__happening"
"Don't know","Qatar",15.5969845,"Ques__happening"
"Don't know","Romania",10.1229066,"Ques__happening"
"Don't know","Saudi.Arabia",17.54271198,"Ques__happening"
"Don't know","Senegal",11.49951431,"Ques__happening"
"Don't know","Serbia",7.376074097,"Ques__happening"
"Don't know","Singapore",9.036435147,"Ques__happening"
"Don't know","Slovakia",4.381646115,"Ques__happening"
"Don't know","South.Africa",7.763372749,"Ques__happening"
"Don't know","South.Korea",8.119271202,"Ques__happening"
"Don't know","Spain",6.309335565,"Ques__happening"
"Don't know","Sri.Lanka",5.762151039,"Ques__happening"
"Don't know","Sub.Saharan.Africa",13.74069485,"Ques__happening"
"Don't know","Sweden",8.43256396,"Ques__happening"
"Don't know","Switzerland",6.023725469,"Ques__happening"
"Don't know","Taiwan",6.083243413,"Ques__happening"
"Don't know","Tanzania",16.70070261,"Ques__happening"
"Don't know","Thailand",21.5429625,"Ques__happening"
"Don't know","Trinidad.and.Tobago",7.144385572,"Ques__happening"
"Don't know","Tunisia",20.03702999,"Ques__happening"
"Don't know","Turkey",8.289870286,"Ques__happening"
"Don't know","United.Arab.Emirates",13.45131512,"Ques__happening"
"Don't know","United.Kingdom",6.871190103,"Ques__happening"
"Don't know","United.States",5.752909594,"Ques__happening"
"Don't know","Uruguay",8.557538508,"Ques__happening"
"Don't know","Uzbekistan",9.733056932,"Ques__happening"
"Don't know","Vietnam",10.12635715,"Ques__happening"
"Don't know","Yemen",20.58419107,"Ques__happening"
"Don't know","Zambia",6.083185653,"Ques__happening"
"Refused","Albania",0.041571148,"Ques__happening"
"Refused","Algeria",1.098648754,"Ques__happening"
"Refused","Angola",0.457187194,"Ques__happening"
"Refused","Argentina",0.250718056,"Ques__happening"
"Refused","Armenia",0.0842907,"Ques__happening"
"Refused","Asian...Pacific.Islands",0.764226049,"Ques__happening"
"Refused","Australia",0.031227451,"Ques__happening"
"Refused","Austria",0.154839898,"Ques__happening"
"Refused","Azerbaijan",0.055687781,"Ques__happening"
"Refused","Bangladesh",0.053046881,"Ques__happening"
"Refused","Belgium",NA,"Ques__happening"
"Refused","Benin",1.45853553,"Ques__happening"
"Refused","Bolivia..Plurinational.State.of.",0.528537436,"Ques__happening"
"Refused","Bosnia.and.Herzegovina",NA,"Ques__happening"
"Refused","Botswana",0.202717239,"Ques__happening"
"Refused","Brazil",0.073437526,"Ques__happening"
"Refused","Bulgaria",0.093272081,"Ques__happening"
"Refused","Burkina.Faso",0.447448808,"Ques__happening"
"Refused","Cambodia",1.936037818,"Ques__happening"
"Refused","Cameroon",1.214476632,"Ques__happening"
"Refused","Canada",NA,"Ques__happening"
"Refused","Caribbean",0.313921831,"Ques__happening"
"Refused","Chile",0.050068922,"Ques__happening"
"Refused","Colombia",0.020017058,"Ques__happening"
"Refused","Congo..Democratic.Republic.of.the.",1.267172691,"Ques__happening"
"Refused","Costa.Rica",0.216535521,"Ques__happening"
"Refused","Cote.d.Ivoire",1.139774583,"Ques__happening"
"Refused","Croatia",NA,"Ques__happening"
"Refused","Cyprus",0.438545292,"Ques__happening"
"Refused","Czechia",0.033832177,"Ques__happening"
"Refused","Denmark",0.102646128,"Ques__happening"
"Refused","Dominican.Republic",0.779208012,"Ques__happening"
"Refused","Ecuador",NA,"Ques__happening"
"Refused","Egypt",0.973672576,"Ques__happening"
"Refused","El.Salvador",0.038503005,"Ques__happening"
"Refused","Finland",NA,"Ques__happening"
"Refused","France",0.052430292,"Ques__happening"
"Refused","Germany",0.019079389,"Ques__happening"
"Refused","Ghana",2.565299568,"Ques__happening"
"Refused","Greece",0.083806758,"Ques__happening"
"Refused","Guatemala",0.125687933,"Ques__happening"
"Refused","Haiti",0.460394627,"Ques__happening"
"Refused","Honduras",0.516836741,"Ques__happening"
"Refused","Hong.Kong",0.18590137,"Ques__happening"
"Refused","Hungary",NA,"Ques__happening"
"Refused","India",0.656869562,"Ques__happening"
"Refused","Indonesia",1.021595543,"Ques__happening"
"Refused","Iraq",0.456725399,"Ques__happening"
"Refused","Ireland",0.04598371,"Ques__happening"
"Refused","Israel",0.135043144,"Ques__happening"
"Refused","Italy",0.155287811,"Ques__happening"
"Refused","Jamaica",0.468569457,"Ques__happening"
"Refused","Japan",NA,"Ques__happening"
"Refused","Jordan",0.132005601,"Ques__happening"
"Refused","Kenya",0.477735229,"Ques__happening"
"Refused","Kosovo",NA,"Ques__happening"
"Refused","Kuwait",0.060311544,"Ques__happening"
"Refused","Lao.People.s.Democratic.Republic",1.831814317,"Ques__happening"
"Refused","Lebanon",NA,"Ques__happening"
"Refused","Libya",0.555787068,"Ques__happening"
"Refused","Lithuania",NA,"Ques__happening"
"Refused","Malawi",0.330825317,"Ques__happening"
"Refused","Malaysia",0.463921878,"Ques__happening"
"Refused","Mexico",0.094168339,"Ques__happening"
"Refused","Morocco",0.630484078,"Ques__happening"
"Refused","Mozambique",1.30226487,"Ques__happening"
"Refused","Nepal",1.824867791,"Ques__happening"
"Refused","Netherlands",0.062609895,"Ques__happening"
"Refused","New.Zealand",0.38085521,"Ques__happening"
"Refused","Nicaragua",0.403836264,"Ques__happening"
"Refused","Nigeria",1.736514826,"Ques__happening"
"Refused","North.MAcedonia",NA,"Ques__happening"
"Refused","Norway",0.140409881,"Ques__happening"
"Refused","Oman",0.172190465,"Ques__happening"
"Refused","Pakistan",2.319058668,"Ques__happening"
"Refused","Panama",NA,"Ques__happening"
"Refused","Paraguay",NA,"Ques__happening"
"Refused","Peru",NA,"Ques__happening"
"Refused","Philippines",0.861015437,"Ques__happening"
"Refused","Poland",NA,"Ques__happening"
"Refused","Portugal",0.11715006,"Ques__happening"
"Refused","Puerto.Rico",0.234801817,"Ques__happening"
"Refused","Qatar",0.110633344,"Ques__happening"
"Refused","Romania",0.129510903,"Ques__happening"
"Refused","Saudi.Arabia",0.779998661,"Ques__happening"
"Refused","Senegal",0.989028884,"Ques__happening"
"Refused","Serbia",NA,"Ques__happening"
"Refused","Singapore",NA,"Ques__happening"
"Refused","Slovakia",0.060881471,"Ques__happening"
"Refused","South.Africa",0.730949085,"Ques__happening"
"Refused","South.Korea",0.03676453,"Ques__happening"
"Refused","Spain",0.122951718,"Ques__happening"
"Refused","Sri.Lanka",0.71447169,"Ques__happening"
"Refused","Sub.Saharan.Africa",1.225553221,"Ques__happening"
"Refused","Sweden",0.166572338,"Ques__happening"
"Refused","Switzerland",NA,"Ques__happening"
"Refused","Taiwan",0.147017895,"Ques__happening"
"Refused","Tanzania",1.34186653,"Ques__happening"
